                time     magnetic_energy     mhd_enstrophy_j mhd_enstrophy_gradb     mhd_dissipation                Jmax
  0.730000000000E+00  0.233520947835E+01  0.163754166982E+02  0.163803660049E+02  0.655214648880E+00  0.227558405687E+02
  0.740000000000E+00  0.234297141440E+01  0.165190712269E+02  0.165236925025E+02  0.660947709833E+00  0.238909160681E+02
  0.750000000000E+00  0.235057161102E+01  0.166533076776E+02  0.166576309450E+02  0.666305248625E+00  0.249960511516E+02
  0.760000000000E+00  0.235799870963E+01  0.167790956293E+02  0.167831555813E+02  0.671326235196E+00  0.260633233243E+02
  0.770000000000E+00  0.236524099141E+01  0.168975374151E+02  0.169013728877E+02  0.676054928578E+00  0.270853908532E+02
  0.780000000000E+00  0.237228633197E+01  0.170098505855E+02  0.170135039093E+02  0.680540170558E+00  0.280556148814E+02
  0.790000000000E+00  0.237912215791E+01  0.171173465564E+02  0.171208627757E+02  0.684834526295E+00  0.289681554234E+02
  0.800000000000E+00  0.238573540614E+01  0.172214051158E+02  0.172248310636E+02  0.688993258842E+00  0.298180400583E+02
  0.810000000000E+00  0.239211248734E+01  0.173234445030E+02  0.173268277252E+02  0.693073126269E+00  0.306012054918E+02
  0.820000000000E+00  0.239823925561E+01  0.174248869087E+02  0.174282744356E+02  0.697130995560E+00  0.313145133146E+02
  0.830000000000E+00  0.240410098717E+01  0.175271194841E+02  0.175305564571E+02  0.701222277196E+00  0.319557422108E+02
  0.840000000000E+00  0.240968237166E+01  0.176314512997E+02  0.176349794760E+02  0.705399198619E+00  0.325235595370E+02
  0.850000000000E+00  0.241496752008E+01  0.177390671463E+02  0.177427233196E+02  0.709708952915E+00  0.330174756145E+02
  0.860000000000E+00  0.241993999368E+01  0.178509795830E+02  0.178547939762E+02  0.714191779604E+00  0.334377842646E+02
  0.870000000000E+00  0.242458285807E+01  0.179679811560E+02  0.179719758577E+02  0.718879055174E+00  0.337854931108E+02
  0.880000000000E+00  0.242887876630E+01  0.180905991679E+02  0.180947867000E+02  0.723791489052E+00  0.340622469990E+02
  0.890000000000E+00  0.243281007348E+01  0.182190556927E+02  0.182234378004E+02  0.728937533145E+00  0.342702476008E+02
  0.900000000000E+00  0.243635898436E+01  0.183532356435E+02  0.183578024021E+02  0.734312117181E+00  0.344121718939E+02
  0.910000000000E+00  0.243950773328E+01  0.184926655558E+02  0.184973948755E+02  0.739895815986E+00  0.344910917994E+02
  0.920000000000E+00  0.244223879396E+01  0.186365053353E+02  0.186413629301E+02  0.745654537955E+00  0.345103968224E+02
  0.930000000000E+00  0.244453511458E+01  0.187835545518E+02  0.187884944109E+02  0.751539796896E+00  0.344737211244E+02
  0.940000000000E+00  0.244638037168E+01  0.189322739910E+02  0.189372393598E+02  0.757489594495E+00  0.343848760584E+02
  0.950000000000E+00  0.244775923452E+01  0.190808221881E+02  0.190857470313E+02  0.763429900947E+00  0.342477888438E+02
  0.960000000000E+00  0.244865763066E+01  0.192271056521E+02  0.192319165401E+02  0.769276680848E+00  0.340664477501E+02
  0.970000000000E+00  0.244906300277E+01  0.193688405581E+02  0.193734588877E+02  0.774938374274E+00  0.355181657922E+02
  0.980000000000E+00  0.244896454660E+01  0.195036229218E+02  0.195079673617E+02  0.780318712733E+00  0.381875068033E+02
