                time      kinetic_energy    dissipation_rate  dissipation_rate_2           enstrophy       enstrophy_max
  0.120000000000E+01  0.847937508032E+00  0.285880573939E+00  0.286463088998E+00  0.714701429094E+01  0.158862581496E+03
  0.121000000000E+01  0.848125938913E+00  0.286454343489E+00  0.287026931313E+00  0.716135852982E+01  0.158340832120E+03
  0.122000000000E+01  0.848680374759E+00  0.286943097380E+00  0.287505043764E+00  0.717357737712E+01  0.157279106554E+03
  0.123000000000E+01  0.849590042372E+00  0.287346641559E+00  0.287897343706E+00  0.718366598156E+01  0.155697776756E+03
  0.124000000000E+01  0.850844420059E+00  0.287665495117E+00  0.288204457696E+00  0.719163732040E+01  0.153618299692E+03
  0.125000000000E+01  0.852433271845E+00  0.287900793163E+00  0.288427621654E+00  0.719751977141E+01  0.151062473345E+03
  0.126000000000E+01  0.854346668075E+00  0.288054193935E+00  0.288568585929E+00  0.720135479056E+01  0.148051944795E+03
  0.127000000000E+01  0.856574993467E+00  0.288127792628E+00  0.288629527812E+00  0.720319475771E+01  0.144763296292E+03
  0.128000000000E+01  0.859108943749E+00  0.288124043402E+00  0.288612973016E+00  0.720310102691E+01  0.141579800972E+03
  0.129000000000E+01  0.861939512132E+00  0.288045690225E+00  0.288521726721E+00  0.720114219734E+01  0.138071320564E+03
  0.130000000000E+01  0.865057966839E+00  0.287895706535E+00  0.288358814124E+00  0.719739260497E+01  0.134249182879E+03
  0.131000000000E+01  0.868455820910E+00  0.287677243332E+00  0.288127429954E+00  0.719193102484E+01  0.132036864467E+03
  0.132000000000E+01  0.872124795404E+00  0.287393585096E+00  0.287830896178E+00  0.718483956893E+01  0.129765791154E+03
  0.133000000000E+01  0.876056777043E+00  0.287048112870E+00  0.287472627076E+00  0.717620276336E+01  0.127761078878E+03
  0.134000000000E+01  0.880243771247E+00  0.286644273952E+00  0.287056100902E+00  0.716610679057E+01  0.125477022483E+03
  0.135000000000E+01  0.884677851393E+00  0.286185557721E+00  0.286584837503E+00  0.715463888506E+01  0.122922060591E+03
  0.136000000000E+01  0.889351105042E+00  0.285675477269E+00  0.286062381402E+00  0.714188687411E+01  0.120605391368E+03
  0.137000000000E+01  0.894255577820E+00  0.285117556543E+00  0.285492289976E+00  0.712793885639E+01  0.118301034369E+03
  0.138000000000E+01  0.899383215581E+00  0.284515322718E+00  0.284878126377E+00  0.711288301133E+01  0.115767722698E+03
  0.139000000000E+01  0.904725805444E+00  0.283872303409E+00  0.284223456814E+00  0.709680752925E+01  0.113031562791E+03
  0.140000000000E+01  0.910274916338E+00  0.283192028156E+00  0.283531851692E+00  0.707980064865E+01  0.110793902408E+03
  0.141000000000E+01  0.916021839672E+00  0.282478033426E+00  0.282806889928E+00  0.706195078123E+01  0.108351895101E+03
  0.142000000000E+01  0.921957530816E+00  0.281733870139E+00  0.282052165539E+00  0.704334669994E+01  0.105734175771E+03
  0.143000000000E+01  0.928072552140E+00  0.280963112518E+00  0.281271295449E+00  0.702407776034E+01  0.104496892611E+03
  0.144000000000E+01  0.934357018392E+00  0.280169366944E+00  0.280467927265E+00  0.700423412193E+01  0.103218174690E+03
  0.145000000000E+01  0.940800545270E+00  0.279356279413E+00  0.279645745722E+00  0.698390693464E+01  0.101898492870E+03
  0.146000000000E+01  0.947392202061E+00  0.278527540231E+00  0.278808476500E+00  0.696318845608E+01  0.100534702672E+03
  0.147000000000E+01  0.954120469269E+00  0.277686884692E+00  0.277959886190E+00  0.694217206856E+01  0.991201818097E+02
  0.148000000000E+01  0.960973202113E+00  0.276838088680E+00  0.277103777379E+00  0.692095216917E+01  0.976451908965E+02
